t_val,u_val,du_dt_val,d2u_dt2_val,f_val
22.8,0.0976898656231926,0.0459656695171581,-0.372214214123741,-0.0468893240470431
22.9,0.100394701622404,0.00799749635093054,-0.38438461762061,-0.24440547191551
23,0.0992551261920803,-0.0304553785133219,-0.380656346511003,-0.432177944884778
23.1,0.0943174533404393,-0.0677460717753956,-0.36132121290224,-0.602720847007861
23.2,0.0857650783092337,-0.102348411575437,-0.327022386169358,-0.749235170956353
23.3,0.0739528916203115,-0.132803515288213,-0.27944670033132,-0.865879852987126
23.4,0.0593464367378617,-0.15789037510038,-0.220679648110158,-0.948004637721183
23.5,0.0425479702766138,-0.176623564324567,-0.153364352291724,-0.992335469150929
23.6,0.0242247814532679,-0.18830077131002,-0.0803784539819563,-0.997105016921283
23.7,0.0051094368233755,-0.192510034436784,-0.00470752751981751,-0.962123134213823
23.8,-0.0140423510325842,-0.189151574187426,0.070829291923287,-0.888784438300377
23.9,-0.0324800083958822,-0.178360613508921,0.143329555897891,-0.780012711553382
24,-0.0494817645961584,-0.160586231867278,0.210302651658809,-0.6401443394692
24.1,-0.0643818046546464,-0.136501532218658,0.269305027383988,-0.474755432662659
24.2,-0.0765945346967908,-0.107021546609731,0.318123414103453,-0.290439524933267
24.3,-0.0856356730583094,-0.0732622904030784,0.354716081699402,-0.0945447098797
24.4,-0.0911357019228707,-0.0365217616597267,0.37734711769423,0.105119304403679
24.5,-0.0928751562167242,0.00173494380123577,0.384867807298909,0.300592543743637
24.6,-0.090766170955814,0.0399926641332473,0.376532354604125,0.484082106939161
24.7,-0.0849024623168125,0.0766356859634908,0.352758990803467,0.648272844140441
24.8,-0.0754996831344083,0.110195414925321,0.314282278004168,0.786618988789104
24.9,-0.0629638316771448,0.13922966536308,0.263180462662851,0.893605116674507
25,-0.0477793876840634,0.162593733071743,0.201632652503063,0.964966028492113
25.1,-0.03060108109868,0.179359066136729,0.132502322906939,0.997856789880131
25.2,-0.0121125095692792,0.18891540293219,0.058640226504971,0.990966149974821
25.3,0.00694368521387239,0.190955058618454,-0.0171041271958456,0.944568816844535
25.4,0.0258222344841447,0.185448806759911,-0.0919334875342035,0.860514505745929
25.5,0.0437809166647798,0.17263212515633,-0.163132866393145,0.742154196813783
25.6,0.0601153289590204,0.153001975809818,-0.228154032875485,0.594206542057668
25.7,0.0741772845967208,0.127288398118466,-0.284547652206883,0.422569747596897
25.8,0.085403660811582,0.0964603367632852,-0.330101108910678,0.234086430795381
25.9,0.0933380809080898,0.0616933953214289,-0.362846867332699,0.0362708267005097
26,0.0976534724885001,0.0243517312472142,-0.381241794538779,-0.162990780795705
26.1,0.0981665466318989,-0.0140699174440376,-0.384249355438877,-0.355754460208748
26.2,0.0948451342921666,-0.0520105633458734,-0.371466980492036,-0.534335331941379
26.3,0.0878200520405369,-0.0878940312819576,-0.343353188545359,-0.691613940182161
26.4,0.0773710759563281,-0.120239884726102,-0.301090685594234,-0.821320083141871
26.5,0.0639139996616032,-0.147722141643948,-0.246603301918987,-0.918282786212119
26.6,0.0480007777654815,-0.169233350042669,-0.182420111329581,-0.978636452404992
26.7,0.0302699133501501,-0.183942958902009,-0.111372795263815,-0.999974971506386
26.8,0.0114327512609686,-0.191303806422246,-0.0364863877467426,-0.981447644097323
26.9,-0.0077573737883886,-0.191101089486194,0.0394122256579552,-0.92379309625524
27,-0.0265460915664878,-0.183368554503384,0.113432936723348,-0.82930983286315
27.1,-0.0441940042896978,-0.168451691630333,0.183042835538079,-0.701764603473318
27.2,-0.0600119901610753,-0.146918061357821,0.245714480908122,-0.546242233889277
27.3,-0.0733762264348323,-0.119580402496643,0.299116182060364,-0.368942910207113
27.4,-0.0837602184542623,-0.0874671895521129,0.341092918996083,-0.176934996961678
27.5,-0.0907447107127321,-0.0518084820973012,0.36978076617441,0.0221267562619557
27.6,-0.0940388990965926,-0.0139852224187483,0.383653018124742,0.220306385538442
27.7,-0.0935043472919637,0.0244689589956499,0.381932314999849,0.409703094440506
27.8,-0.0891573737936294,0.0619691717558815,0.364540725163573,0.582766233860112
27.9,-0.0811733114761185,0.0969610013551672,0.332159059080628,0.732596322560906
28,-0.0698662954778899,0.128012851004526,0.286146493341874,0.853220107722584
28.1,-0.0557103453548389,0.153849176697738,0.228680625825402,0.93982869968111
28.2,-0.0392696544918198,0.173447107070237,0.162340775242677,0.988969287184313
28.3,-0.0212187180679158,0.186066806263789,0.0899863448384569,0.998682790080534
28.4,-0.00227738200602261,0.191265792261559,0.0145353423305807,0.968581961662032
28.5,0.0168003935875548,0.188869852995518,-0.0610162859706714,0.899866826969194
28.6,0.035258790064497,0.179030055806464,-0.134019392555764,0.795276841579076
28.7,0.0523719080063027,0.162128675459956,-0.201810160917589,0.658981678156403
28.8,0.0674668935385354,0.138831379599924,-0.262049146093865,0.496414994762567
28.9,0.0799460024808357,0.110001802399958,-0.312381895004036,0.314057812055658
29,0.0893085339305174,0.0767335045156028,-0.35073578343896,0.119180135448819
29.1,0.0951764303104785,0.0403071017367271,-0.375335195993865,-0.0804488770636982
29.2,0.0972984539000447,0.00214813019121749,-0.384808069949059,-0.276870646718791
29.3,0.0955849083039391,-0.0361803551618789,-0.378590394396656,-0.462254457405063
29.4,0.0900856760469311,-0.0731305764959877,-0.356609865186829,-0.629209641602883
29.5,0.0810283458385644,-0.107124211964319,-0.320004178782421,-0.771080222975845
29.6,0.0687648463516709,-0.136789314519566,-0.27026265546006,-0.882210269143113
29.7,0.0538074130772459,-0.160886906362892,-0.209871286303271,-0.958169375855135
29.8,0.0367508601446267,-0.178489532367289,-0.141437854305365,-0.99592929323013
29.9,0.0183048605007721,-0.188956096316191,-0.0678255970693665,-0.993984652520664
30,-0.000805390542199197,-0.191937322322481,0.00807839923495923,-0.952412980415156
